Data,Preco
0.01,10
0.02,7.80249899473797
0.03,12.1477142966814
0.04,8.89163730211994
0.05,10.7130135423377
0.06,10.025633951981
0.07,11.9301472339115
0.08,6.22327521823311
0.09,12.4323601687683
0.1,6.60135846225919
0.11,12.8445632853605
0.12,7.81737549894961
0.13,12.6640521785732
0.14,7.42096868800975
0.15,10.1982642617248
0.16,8.43457391728148
0.17,11.5905470139581
0.18,9.78732383368281
0.19,9.52727341355056
0.2,10.8665987044413
0.21,9.08571908979286
0.22,10.8613665559577
0.23,8.89610108756971
0.24,10.9207326724665
0.25,10.1543035432064
0.26,9.08005155111081
0.27,9.53454066860917
0.28,10.2639230372204
0.29,12.256534221203
0.3,8.30672131926563
0.31,13.1324898425744
0.32,10.2052493883566
0.33,10.720176051615
0.34,9.00503345199579
0.35,10.0543284314392
0.36,9.53686928203975
0.37,8.97599694843833
0.38,10.1420040128051
0.39,11.3309571536659
0.4,8.93949363614936
0.41,10.4081888922382
0.42,7.81112737072388
0.43,11.4934772173459
0.44,9.10738323340556
0.45,10.9992982921765
0.46,8.91565566670193
0.47,10.5747384560847
0.48,9.83825666383818
0.49,10.3677025178073
0.5,9.96963130473441
0.51,10.3998005789712
0.52,10.8710981747489
0.53,10.4547193836489
0.54,10.1221114465537
0.55,11.504952650329
0.56,9.8250221590866
0.57,11.6725770101408
0.58,9.75410464365516
0.59,8.68285804597213
0.6,11.5693029824786
0.61,9.37522093877156
0.62,10.5779345048762
0.63,9.73522990765065
0.64,10.0339840949021
0.65,10.0239515939985
0.66,9.50008192925274
0.67,11.4282604892354
0.68,9.23811357543431
0.69,10.2463198825762
0.7,8.66209436860097
0.71,11.0104279495481
0.72,9.41210984010609
0.73,11.0110793076446
0.74,8.25698904245351
0.75,9.4539027192277
0.76,10.3164882557958
0.77,11.5125980829135
0.78,8.35462903392618
0.79,12.5570983418332
0.8,8.77724319286736
0.81,11.2353737512367
0.82,8.48708347506575
0.83,9.77833250474294
0.84,10.4949702519435
0.85,9.27278466977559
0.86,9.48688394074557
0.87,11.0638274253471
0.88,7.65553502545932
0.89,9.64492894308258
0.9,9.53963080238351
0.91,10.6985495851057
0.92,10.0026822358763
0.93,9.93815481829957
0.94,12.4351310854739
0.95,8.84567429862846
0.96,10.6941606997488
0.97,8.46287562536089
0.98,11.1088254192893
0.99,9.67897176294691
1,11.7999840839046
1.01,7.49251908731235
1.02,11.2660953508431
1.03,9.18422012587252
1.04,11.5446112267138
1.05,8.90992732105935
1.06,11.526763709481
1.07,8.08816075330739
1.08,12.8740788078788
1.09,9.18490989204769
1.1,9.88496736158163
1.11,8.35596243292719
1.12,9.89516053620024
1.13,10.2488646132629
1.14,8.83027906709422
1.15,10.0793606221984
1.16,10.2177676693342
1.17,9.96519536126118
1.18,10.2571287233044
1.19,8.83222519553361
1.2,11.1129503417426
1.21,8.68255998665427
1.22,10.5544703913752
1.23,9.57639853846932
1.24,10.6031854008615
1.25,9.53265226900571
1.26,9.6819761454259
1.27,9.61135864692912
